"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"11","Respondent 11","I give consent to take part in this study",72,"Female","Yes","HU15","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,2,2,12,12,"Yes",6,7,5,7,5,"Exercise (e.g., walking, kayaking, swimming)","Beautiful calming unpredictable","Solitary peaceful flowing","Birds newts insects fish","Birds,  crickets, dragon flys hedgehogs","Maybe, I would consider providing a blue space with more information or assistance","Remove litter provide paths and access for those that are challenged by mobility issues. Seats","2025-03-15 15:00:35 UTC","2025-03-15 15:09:46 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,80,16,5
"12","Respondent 12","I give consent to take part in this study",41,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","2",NA,2,12,12,1,12,"Yes",7,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Dirty polluted visited","Quiet fascinating litter","Ducks, swans, geese, birds, weasel, frogs","Birds, bees","Maybe, I would consider providing a blue space with more information or assistance","Ensure they are kept clean and free of pollution.","2025-03-15 12:12:31 UTC","2025-03-15 17:14:42 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,39,7.8,5
"13","Respondent 13","I give consent to take part in this study",68,"Male","Yes","HU8","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1","1","1","1","3",NA,52,12,12,12,2,"Yes",7,7,6,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Feeding wildlife (e.g., ducks, fish)","Un loved area","Un loved  nature","Small egret","Birds and insects","I would if I had the space","Spend money and tim6","2025-03-15 20:12:26 UTC","2025-03-15 20:28:23 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
"14","Respondent 14","I give consent to take part in this study",26,"Male","Yes","HU12","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","2","2","2","2","4",NA,12,12,52,52,52,"Yes",7,7,4,5,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Industrial, underutilised, dirty","Luscious, rich, thriving","Cranes, fish, insects, birds","More birds","Maybe, I would consider providing a blue space with more information or assistance","Cleaning garbage","2025-03-15 21:30:59 UTC","2025-03-15 21:34:14 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,180,36,5
"15","Respondent 15","I give consent to take part in this study",34,"Male","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,52,2,12,12,12,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Vast, homely, peaceful","Rubbish littered, green, still teeming with wildlife","Birds, gulls, seals, insects","Fish and lizards","Maybe, I would consider providing a blue space with more information or assistance","Help to collect litter","2025-03-16 06:04:12 UTC","2025-03-16 06:12:34 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
"16","Respondent 16","I give consent to take part in this study",68,"Female","Yes","HU3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,52,2,12,12,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Tranquil uplifting alive","Interesting variety alive","Foxes deer birds","Birds hedgehogs insects","I would if I had the space","Keep them litter free","2025-03-16 08:39:36 UTC","2025-03-16 08:45:06 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,90,18,5
"17","Respondent 17","I give consent to take part in this study",42,"Female","Yes","hu2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","1","2","1","2","2",NA,52,52,52,52,52,"Yes",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming)","loud with geese","Brown but beautiful","geese, seagulls, peahens (?)","birds, dolphins, seals","Maybe, I would consider providing a blue space with more information or assistance","stop emptying sewage and chemicals into them","2025-03-16 16:27:47 UTC","2025-03-16 16:33:32 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,260,52,5
"18","Respondent 18","I give consent to take part in this study",57,"Female","Yes","Hu9","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,52,12,52,12,"Yes",1,1,4,1,4,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","My local park","The humber estuary","Birds, rabbits","Butterflies","I already do","Keep them free from litter","2025-03-16 21:42:41 UTC","2025-03-16 21:55:44 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,180,36,5
"19","Respondent 19","I give consent to take part in this study",48,"Female","Yes","Hu9","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","2","2","1","3","3",NA,52,12,2,52,52,"Yes",6,7,6,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing","Dramatic Changeable Fascinating","Mysterious  Busy Intimidating","Birds Ducks Seal","Birds Fish","Maybe, I would consider providing a blue space with more information or assistance","Remove rubbish, Clean up water","2025-03-20 18:45:15 UTC","2025-03-20 18:58:29 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,170,34,5
"20","Respondent 20","I give consent to take part in this study",26,"Other","Yes","hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","2","1","1","1","1",NA,1,1,1,1,1,"Yes",6,7,6,5,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","overcrowded scenic busy","expansive wild nature","fish and birds","everything","I would if I had the space","less people","2025-03-21 12:33:49 UTC","2025-03-21 12:40:37 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Other",1,1,1,1,1,5,1,5
"21","Respondent 21","I give consent to take part in this study",32,"Female","Yes","HU8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,1,12,2,2,2,"Yes",6,7,4,6,7,"Nature watching,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Peaceful, Pretty, Popular","Tranquil, wild, free","Ducks, birds, fish, crustaceans, cetaceans","Otters, beavers, everything else","I would if I had the space","Less pollution, less litter, more wild areas for wildlife","2025-03-21 12:39:49 UTC","2025-03-21 12:52:17 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,19,3.8,5
"22","Respondent 22","I give consent to take part in this study",24,"Female","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","2",NA,12,2,2,52,52,"Yes",7,7,7,7,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Sculpted calm industrial","Large movement wildlife","Birds such as various gulls, curlew, cormorants, ducks and pigeons. Less frequently seen are fish, eels and foxes.","Smaller song birds and small mammals.","I would if I had the space","More accessible and integrated into everyday life e.g. can be seen along busy commuting routes. Encouragement of water based activities in nature such as cold water swimming, kayaking, water therapies etc. Removing litter from water way - this is the thing I see most frequently in all types of water ways.","2025-03-26 10:22:47 UTC","2025-03-26 10:31:34 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,120,24,5
"23","Respondent 23","I give consent to take part in this study",40,"Female","Yes","Hu8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","2","2","2","2","3",NA,12,12,2,12,52,"Yes",7,7,5,6,6,"Exercise (e.g., walking, kayaking, swimming)","Beautiful,  flowing, biodiversity","Biodiversity,  wild, important","Kingfisher, water voles, rats, dragon flies","Hedgehog,  water voles","I already do","Build understanding of importance","2025-04-02 08:31:27 UTC","2025-04-02 08:35:30 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,90,18,5
"24","Respondent 24","I give consent to take part in this study",61,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,1,12,1,12,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Green Wild Gentle","Lively busy organic","Toads birds newts foxes hares","Pond life birds bees butterflies","I already do","Stop building on greenspaces","2025-04-02 08:37:57 UTC","2025-04-02 08:43:25 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,38,7.6,5
"25","Respondent 25","I give consent to take part in this study",22,"Female","Yes","HU4","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1","1","1","1","2",NA,2,12,12,12,2,"Yes",6,7,7,6,6,"Nature watching,Photography,Pond dipping","Overgrown, algae, populsr","birds, wildlife, plants","birds fish frogs ducks and waders and swans","waders and birds","Maybe, I would consider providing a blue space with more information or assistance","cleaner - clean of overgrowth of algae to provide better oxygen for water and clean of litter","2025-04-02 09:55:40 UTC","2025-04-02 10:02:37 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,40,8,5
"26","Respondent 26","I give consent to take part in this study",60,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,52,52,12,12,52,"Yes",1,1,2,1,1,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","quiet pretty calm","fields through to Cottingham","fox, roe deer, buzzard, long tiled tits, blue & great tit, robin, dunnock, wren","am lucky I see an abundance already","I already do","less litter and dog walkers who don't respect the quiet","2025-04-02 10:59:31 UTC","2025-04-02 11:06:17 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,180,36,5
"27","Respondent 27","I give consent to take part in this study",50,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1","1","2","2","2",NA,2,2,2,1,1,"Yes",6,6,5,5,6,"I don't carry out any of these activities","Leisure, nature, peaceful","Leisure, nature, peaceful","Birds, bees, butterflies","Newts, frogs, more insects","I already do","Better path access, information boards","2025-04-02 11:55:34 UTC","2025-04-02 12:02:59 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,8,1.6,5
"28","Respondent 28","I give consent to take part in this study",47,"Male","Yes","Hu4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,52,2,52,2,"Yes",7,7,7,7,7,"Nature watching,Photography","Good, could be better.","Could be better","Duck's and gease","Kingfisher would be a good start","I already do","Creative more wildlife wetlands In our local parks.","2025-04-02 12:39:33 UTC","2025-04-02 12:48:00 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,160,32,5
"29","Respondent 29","I give consent to take part in this study",76,"Male","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","2","2","2","3","1",NA,52,52,12,52,52,"Yes",6,7,5,6,4,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Unclean, fascinating, important","Supports diversity, important.","Moorhen, ducks, cootes, swans, rats, swallows, swifts,","Swallows, swifts, water rats, fish.","I already do","Regularly clean lake beds in city parks.","2025-04-02 18:02:17 UTC","2025-04-02 18:15:40 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,220,44,5
"30","Respondent 30","I give consent to take part in this study",44,"Male","Yes","Yo4","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1","1","1","1","1","1",NA,52,12,2,2,2,"Yes",7,7,5,6,5,"Exercise (e.g., walking, kayaking, swimming)","Forest","Oldroyds corner yorkshire","Lots of birds ,water fowl","A","I already do","Manging the spaces better if planting trees should be managed better","2025-04-02 19:06:06 UTC","2025-04-02 19:11:07 UTC","2","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,70,14,5
"31","Respondent 31","I give consent to take part in this study",52,"Male","Yes","Hu3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","1","1","2","1","1",NA,12,12,12,2,2,"Yes",6,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","poor  not attractive","Very poor","Nature","Nature ,birds","I would if I had the space","Keep clean","2025-04-02 19:30:57 UTC","2025-04-02 19:40:47 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,40,8,5
"32","Respondent 32","I give consent to take part in this study",68,"Female","Yes","HU10","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,1,12,12,2,"Yes",7,7,7,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Calming connected grateful","Thankful invigorated euphoric","Various birds, roe deer, foxes, birds of prey, fish, amphibians wildflowers","Fish in our polluted streams, dykes and rivers","I already do","Stop agricultural run off into waterways. Monitor regularly water courses","2025-04-02 19:31:31 UTC","2025-04-02 19:46:34 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,79,15.8,5
"33","Respondent 33","I give consent to take part in this study",44,"Male","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","2","1","1","1","1",NA,12,2,2,12,1,"Yes",7,7,6,6,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Flooding wet pasture","Abandoned historic drainage","Voles, Otters, Egrets, Kestrels, Skylarks, Herons, Storks, moths, dragonflies, deer, badgers, wild flower colonies","More moths & deadwood beetles","I already do","Physically or digitally linking sites together into nature pathways/to communicate how the parts form a network.","2025-04-03 07:32:45 UTC","2025-04-03 07:44:27 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,29,5.8,5
"34","Respondent 34","I give consent to take part in this study",45,"Female","Yes","YO8","Rural (i.e., mostly countryside with few houses or buildings)","No","No","6","6","6","6","6","6",NA,12,2,12,1,0,"Yes",6,6,6,6,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","River Ouse","Winding, beautiful, peaceful","Ducks, invertebrates","Otters, kingfishers","I would if I had the space","Make them clean, natural and respected","2025-04-03 12:42:20 UTC","2025-04-03 12:46:43 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,0,27,5.4,4
"35","Respondent 35","I give consent to take part in this study",44,"Male","Yes","YO7","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","2","2","2","2","2",NA,52,2,2,2,0,"Yes",4,6,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Surprising, calming, unmanaged","Surprising, calming, unmanaged","Kingfisher, little egret, grey wagtail, otter seen by my family, baby eels","otter, water vole, birdlife","I already do","Remove invasive species, increase wild flowers along riverbanks, reduce sedimentation if relevant - better bankside management and restoration","2025-04-03 13:54:04 UTC","2025-04-03 14:02:07 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,0,58,11.6,4
"36","Respondent 36","I give consent to take part in this study",24,"Female","Yes","YO2","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1","1","1","1","1","1",NA,52,12,12,2,2,"Yes",6,6,7,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","beautiful chalk stream","Skerne Wetlands","grass snakes, bittern, barn owl, kingfisher, water vole","birds, invertebrates, reptiles","I would if I had the space","improve the condition of blue spaces, ensure connectivity between patches of wildlife","2025-04-03 13:54:23 UTC","2025-04-03 14:05:29 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,80,16,5
"37","Respondent 37","I give consent to take part in this study",62,"Male","Yes","SE9","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","2","2","1","2","3",NA,12,2,2,2,0,"Yes",6,7,5,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping,Rock pooling","Oasis under-appreciated under-managed","Popular restful under-managed","Waders, wildfowl, kingfisher, water vole, water shrew, frogs, toads, newts, grass snake, caddis flies, water beetles, snails, leeches, flatworms, grey wagtail...","Those indicative of better ecological quality, beavers (and pigmy hippos)","I would if I had the space","Controlled access incorporating refuge areas, better design to take account of seasonal water supply, improved access, better interpretation and awareness-raising, creating opportunities for direct involvement in management and wildlife recording, educational opportunities for all ages","2025-04-03 13:54:27 UTC","2025-04-03 14:19:34 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,0,18,3.6,4
"38","Respondent 38","I give consent to take part in this study",58,"Male","Yes","YO13","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","3","3","2","2","2","5",NA,52,2,52,12,52,"Yes",4,6,5,4,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Managed fishing river","There are no truly wild areas","Dolphins, seals, birds","Orca","No","If you “improve” them they become less wild. Kittiwake towers?","2025-04-05 11:01:37 UTC","2025-04-05 11:08:24 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,170,34,5
"39","Respondent 39","I give consent to take part in this study",53,"Male","Yes","HU18","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","2",NA,2,2,52,2,1,"Yes",7,7,7,7,6,"Nature watching,Rock pooling","Sea, waves, tide","Sea, waves, tide","Gulls and other seabirds, marine and freshwater invertebrates, reedbeds, evidence of otters","Woodland wildlife","Maybe, I would consider providing a blue space with more information or assistance","Better protection for habitats and water quality","2025-04-05 13:30:17 UTC","2025-04-05 13:37:54 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,59,11.8,5
